N DEPARTAMENTO;DEPARTAMENTO;N MUNUCIPIO;MUNICIPIO;GRUPO DE CULTIVO;SUBGRUPO DE CULTIVO;CULTIVO;A�O;PERIODO;Area sembrada;Area cosechada;Produccion [t];Rendimiento [t7ha];ESTADO FISICO PRODUCCION ;NOMBRE CIENTIFICO;CICLO DE CULTIVO
15;BOYACA;15,022;ALMEIDA;OTROS PERMANENTES;CAFE;CAFE;2,007;2007;18;18;7;0.4;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,022;ALMEIDA;OTROS PERMANENTES;CAFE;CAFE;2,008;2008;7;7;3;0.4;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,022;ALMEIDA;OTROS PERMANENTES;CAFE;CAFE;2,009;2009;7;7;3;0.4;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,022;ALMEIDA;OTROS PERMANENTES;CAFE;CAFE;2,010;2010;11;7;3;0.4;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,022;ALMEIDA;OTROS PERMANENTES;CAFE;CAFE;2,011;2011;11;6;2;0.4;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,022;ALMEIDA;OTROS PERMANENTES;CAFE;CAFE;2,012;2012;32;2;1;0.6;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,022;ALMEIDA;OTROS PERMANENTES;CAFE;CAFE;2,013;2013;65;25;16;0.64;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,022;ALMEIDA;OTROS PERMANENTES;CAFE;CAFE;2,014;2014;72;65;45;0.69;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,022;ALMEIDA;OTROS PERMANENTES;CAFE;CAFE;2,015;2015;70;70;61;0.87;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,022;ALMEIDA;OTROS PERMANENTES;CAFE;CAFE;2,016;2016;71;69;62;0.9;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,022;ALMEIDA;OTROS PERMANENTES;CAFE;CAFE;2,017;2017;71;69;52;0.76;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,022;ALMEIDA;OTROS PERMANENTES;CAFE;CAFE;2,018;2018;73;71;55;0.78;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,090;BERBEO;OTROS PERMANENTES;CAFE;CAFE;2,007;2007;507;507;380;0.75;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,090;BERBEO;OTROS PERMANENTES;CAFE;CAFE;2,008;2008;508;476;357;0.75;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,090;BERBEO;OTROS PERMANENTES;CAFE;CAFE;2,009;2009;516;465;349;0.75;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,090;BERBEO;OTROS PERMANENTES;CAFE;CAFE;2,010;2010;526;425;370;0.87;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,090;BERBEO;OTROS PERMANENTES;CAFE;CAFE;2,011;2011;531;430;374;0.87;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,090;BERBEO;OTROS PERMANENTES;CAFE;CAFE;2,012;2012;521;410;357;0.87;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,090;BERBEO;OTROS PERMANENTES;CAFE;CAFE;2,013;2013;461;377;211;0.56;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,090;BERBEO;OTROS PERMANENTES;CAFE;CAFE;2,014;2014;466;399;242;0.61;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,090;BERBEO;OTROS PERMANENTES;CAFE;CAFE;2,015;2015;473;413;383;0.93;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,090;BERBEO;OTROS PERMANENTES;CAFE;CAFE;2,016;2016;479;411;394;0.96;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,090;BERBEO;OTROS PERMANENTES;CAFE;CAFE;2,017;2017;470;435;367;0.84;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,090;BERBEO;OTROS PERMANENTES;CAFE;CAFE;2,018;2018;470;443;382;0.86;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,106;BRICEÑO;OTROS PERMANENTES;CAFE;CAFE;2,007;2007;480;420;292;0.7;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,106;BRICEÑO;OTROS PERMANENTES;CAFE;CAFE;2,008;2008;480;440;308;0.7;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,106;BRICEÑO;OTROS PERMANENTES;CAFE;CAFE;2,009;2009;440;420;168;0.4;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,106;BRICEÑO;OTROS PERMANENTES;CAFE;CAFE;2,010;2010;170;140;56;0.4;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,106;BRICEÑO;OTROS PERMANENTES;CAFE;CAFE;2,011;2011;410;390;59;0.15;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,106;BRICEÑO;OTROS PERMANENTES;CAFE;CAFE;2,012;2012;190;120;14;0.12;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,106;BRICEÑO;OTROS PERMANENTES;CAFE;CAFE;2,013;2013;494;477;267;0.56;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,106;BRICEÑO;OTROS PERMANENTES;CAFE;CAFE;2,014;2014;457;440;267;0.61;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,106;BRICEÑO;OTROS PERMANENTES;CAFE;CAFE;2,015;2015;402;364;290;0.8;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,106;BRICEÑO;OTROS PERMANENTES;CAFE;CAFE;2,016;2016;282;251;206;0.82;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,106;BRICEÑO;OTROS PERMANENTES;CAFE;CAFE;2,017;2017;194;168;111;0.66;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,106;BRICEÑO;OTROS PERMANENTES;CAFE;CAFE;2,018;2018;171;144;90;0.62;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,109;BUENAVISTA;OTROS PERMANENTES;CAFE;CAFE;2,007;2007;470;350;230;0.66;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,109;BUENAVISTA;OTROS PERMANENTES;CAFE;CAFE;2,008;2008;420;397;397;1;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,109;BUENAVISTA;OTROS PERMANENTES;CAFE;CAFE;2,009;2009;427;400;160;0.4;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,109;BUENAVISTA;OTROS PERMANENTES;CAFE;CAFE;2,010;2010;307;307;215;0.7;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,109;BUENAVISTA;OTROS PERMANENTES;CAFE;CAFE;2,011;2011;290;212;85;0.4;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,109;BUENAVISTA;OTROS PERMANENTES;CAFE;CAFE;2,012;2012;424;382;382;1;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,109;BUENAVISTA;OTROS PERMANENTES;CAFE;CAFE;2,013;2013;443;355;227;0.64;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,109;BUENAVISTA;OTROS PERMANENTES;CAFE;CAFE;2,014;2014;463;407;281;0.69;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,109;BUENAVISTA;OTROS PERMANENTES;CAFE;CAFE;2,015;2015;477;425;389;0.91;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,109;BUENAVISTA;OTROS PERMANENTES;CAFE;CAFE;2,016;2016;481;420;397;0.95;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,109;BUENAVISTA;OTROS PERMANENTES;CAFE;CAFE;2,017;2017;327;287;274;0.95;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,109;BUENAVISTA;OTROS PERMANENTES;CAFE;CAFE;2,018;2018;303;262;255;0.97;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,135;CAMPOHERMOSO;OTROS PERMANENTES;CAFE;CAFE;2,009;2009;110;95;57;0.6;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,135;CAMPOHERMOSO;OTROS PERMANENTES;CAFE;CAFE;2,010;2010;110;95;57;0.6;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,135;CAMPOHERMOSO;OTROS PERMANENTES;CAFE;CAFE;2,011;2011;110;88;53;0.6;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,135;CAMPOHERMOSO;OTROS PERMANENTES;CAFE;CAFE;2,012;2012;170;100;100;1;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,135;CAMPOHERMOSO;OTROS PERMANENTES;CAFE;CAFE;2,013;2013;176;126;71;0.56;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,135;CAMPOHERMOSO;OTROS PERMANENTES;CAFE;CAFE;2,014;2014;187;155;94;0.61;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
15;BOYACA;15,135;CAMPOHERMOSO;OTROS PERMANENTES;CAFE;CAFE;2,015;2015;191;179;164;0.92;CAFE VERDE EQUIVALENTE;COFFEA ARABICA;PERMANENTE
