-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2012 through 12/31/2019 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,2012,5.0,-72.5,73.51,65.76,77.14,85.4,84.26,82.46,83.21,81.9,75.99,80.72,84.22,80.66,79.65
RH2M,2012,5.0,-73.125,86.45,80.36,87.21,90.7,89.83,88.31,89.65,87.87,84.49,86.49,89.35,89.41,87.54
RH2M,2012,5.0,-73.75,87.19,85.55,87.86,89.67,89.03,87.23,87.99,86.64,85.04,86.28,87.79,87.87,87.35
RH2M,2012,5.5,-72.5,82.78,76.7,85.07,89.07,88.51,86.22,87.97,85.86,81.82,84.75,87.85,86.33,85.28
RH2M,2012,5.5,-73.125,87.51,84.23,88.67,90.51,90.69,88.54,90.4,89.24,87.11,87.7,89.09,89.15,88.59
RH2M,2012,5.5,-73.75,86.84,84.4,85.68,88.3,87.54,84.34,85.2,84.58,82.01,85.82,87.29,86.63,85.73
RH2M,2012,6.0,-72.5,88.5,83.64,89.16,90.01,91.17,89.54,90.82,88.94,87.12,88.43,89.45,89.09,88.85
RH2M,2012,6.0,-73.125,85.15,81.96,85.26,87.79,86.55,83.45,84.63,84.14,82.0,86.11,86.79,86.23,85.02
RH2M,2012,6.0,-73.75,87.03,83.9,84.9,88.29,87.21,83.66,84.18,84.13,80.94,86.86,88.57,86.68,85.54
RH2M,2012,6.5,-72.5,86.73,82.79,86.97,87.34,87.94,86.08,87.03,85.43,84.14,86.61,87.1,86.87,86.27
RH2M,2012,6.5,-73.125,81.53,76.88,79.81,86.21,82.74,76.96,77.78,79.1,75.33,84.75,84.77,82.69,80.73
RH2M,2012,6.5,-73.75,87.87,84.23,86.31,89.5,88.9,85.78,85.96,86.72,85.15,89.53,90.79,88.34,87.44
RH2M,2013,5.0,-72.5,65.58,66.43,76.16,80.97,85.28,83.53,83.77,82.73,78.7,80.4,88.31,81.9,79.55
RH2M,2013,5.0,-73.125,80.69,81.45,86.37,88.3,90.65,89.18,89.83,88.29,85.52,87.33,91.76,89.28,87.42
RH2M,2013,5.0,-73.75,85.74,87.19,87.27,87.85,89.21,87.34,88.02,87.1,85.23,86.47,89.4,88.99,87.49
RH2M,2013,5.5,-72.5,77.25,78.38,83.56,86.15,89.08,87.88,87.51,87.0,83.71,84.45,91.53,87.51,85.37
RH2M,2013,5.5,-73.125,85.44,87.1,88.36,89.04,90.39,89.62,89.75,89.07,87.39,88.07,90.54,89.55,88.7
RH2M,2013,5.5,-73.75,83.09,85.53,85.55,86.47,87.64,85.18,84.07,84.52,83.74,84.9,88.75,87.55,85.58
RH2M,2013,6.0,-72.5,85.7,86.45,88.31,88.29,90.23,90.58,89.94,89.8,87.88,87.78,91.47,90.01,88.88
