"Codigo","Nombre","Categoria","Tecnologia","Estado","Departamento","Municipio","Ubicación","Altitud","LONGITUD","LATITUD","Fecha_instalacion","Fecha_suspension","Area Operativa","Corriente","Area Hidrografica","Zona Hidrografica","Subzona hidrografica","Entidad"
"11010010","LA VUELTA [11010010]","Pluviométrica","Convencional","Activa","Choco","Cértegui","(5.458944444, -76.544722222)","98","-76.544722222","5.458944444","15/01/1943",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Andágueda","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11017010","AGUASAL [11017010]","Limnimétrica","Convencional","Activa","Choco","Lloró","(5.473943889, -76.537861111)","75","-76.537861111","5.473943889","15/05/1976",,"Area Operativa 01 - Antioquia-Chocó","Andagueda","Caribe","Atrato - Darién","Río Andágueda","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11017020","BAGADO [11017020]","Limnigráfica","Automática con Telemetría","En Mantenimiento","Choco","Bagadó","(5.412, -76.417888889)","90","-76.417888889","5.412","29/12/2017",,"Area Operativa 01 - Antioquia-Chocó","Andagueda","Caribe","Atrato - Darién","Río Andágueda","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11020010","CARMEN DE ATRATO [11020010]","Pluviométrica","Convencional","Activa","Choco","El Carmen","(5.908527778, -76.14208333)","1,850","-76.14208333","5.908527778","15/10/1958",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Alto Atrato","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11020020","GUADUAS [11020020]","Pluviométrica","Convencional","Suspendida","Choco","El Carmen","(5.766666667, -76.18333333)","1,500","-76.18333333","5.766666667","15/03/1977","15/04/2002","Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Alto Atrato","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11020050","EL PINON [11020050]","Pluviométrica","Convencional","Activa","Choco","El Carmen","(5.757666667, -76.25086111)","715","-76.25086111","5.757666667","15/10/1958",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Alto Atrato","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11025010","LA MANSA [11025010]","Climática Ordinaria","Convencional","Activa","Antioquia","Ciudad Bolívar","(5.878305556, -76.08433333)","2,018","-76.08433333","5.878305556","15/07/1973",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Alto Atrato","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11027010","PUENTE LAS SANCHEZ [11027010]","Limnimétrica","Convencional","Suspendida","Choco","El Carmen","(5.851972222, -76.18080556)","2,000","-76.18080556","5.851972222","15/08/1972","06/01/2016","Area Operativa 01 - Antioquia-Chocó","Atrato","Caribe","Atrato - Darién","Alto Atrato","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11027020","OCHO EL [11027020]","Limnimétrica","Convencional","Suspendida","Choco","El Carmen","(5.85, -76.25)","900","-76.25","5.85","15/04/1972","15/02/1979","Area Operativa 01 - Antioquia-Chocó","Atrato","Caribe","Atrato - Darién","Alto Atrato","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11027030","EL SIETE [11027030]","Limnigráfica","Automática con Telemetría","Activa","Choco","El Carmen","(5.862, -76.15205556)","2,300","-76.15205556","5.862","15/12/1979",,"Area Operativa 01 - Antioquia-Chocó","Atrato","Caribe","Atrato - Darién","Alto Atrato","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11027040","ARRAYANES LOS [11027040]","Limnigráfica","Convencional","Suspendida","Choco","El Carmen","(5.8, -76.3)","1,500","-76.3","5.8","15/12/1979","10/12/2008","Area Operativa 01 - Antioquia-Chocó","Atrato","Caribe","Atrato - Darién","Alto Atrato","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11027050","GINDRAMA [11027050]","Limnigráfica","Automática con Telemetría","Suspendida","Choco","Lloró","(5.521555556, -76.51772222)","75","-76.51772222","5.521555556","15/12/1979","02/07/2025","Area Operativa 01 - Antioquia-Chocó","Atrato","Caribe","Atrato - Darién","Alto Atrato","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11027060","PINON EL [11027060]","Limnimétrica","Convencional","Suspendida","Choco","El Carmen","(5.733333333, -76.36666667)","1,350","-76.36666667","5.733333333","15/03/1959","15/11/1971","Area Operativa 01 - Antioquia-Chocó","Atrato","Caribe","Atrato - Darién","Alto Atrato","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11027070","BORAUDO [11027070]","Limnigráfica","Automática con Telemetría, Convencional","En Mantenimiento","Choco","Lloró","(5.514611111, -76.57569444)","78","-76.57569444","5.514611111","15/04/2005","02/07/2025","Area Operativa 01 - Antioquia-Chocó","Atrato","Caribe","Atrato - Darién","Río Cabi y otros Directos Atrato (md)","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11030010","CERTEGUI [11030010]","Pluviométrica","Automática con Telemetría, Convencional","Activa","Choco","Cértegui","(5.38, -76.61)","72","-76.61","5.38","15/01/1967",,"Area Operativa 09 - Cauca-Valle-Caldas",,"Caribe","Atrato - Darién","Río Quito","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11030030","MANAGRU [11030030]","Pluviométrica","Convencional","Activa","Choco","El Cantón Del San Pablo (Managrú)","(5.334166667, -76.72813889)","64","-76.72813889","5.334166667","15/02/1977",,"Area Operativa 09 - Cauca-Valle-Caldas",,"Caribe","Atrato - Darién","Río Quito","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11030040","PAIMADO [11030040]","Pluviométrica","Convencional","Activa","Choco","Rio Quito (Paimadó)","(5.481611111, -76.74086111)","35","-76.74086111","5.481611111","15/02/1977",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Quito","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11030070","LOMA LA PUEBLO NUEVO [11030070]","Pluviográfica","Convencional","Suspendida","Choco","Rio Quito (Paimadó)","(5.584666667, -76.753277778)","72","-76.753277778","5.584666667","15/04/2005","15/12/2022","Area Operativa 01 - Antioquia-Chocó","Quito","Caribe","Atrato - Darién","Río Quito","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
"11035010","LLORO [11035010]","Climática Principal","Automática con Telemetría, Convencional","Activa","Choco","Lloró","(5.499, -76.539)","60","-76.539","5.499","15/03/1983",,"Area Operativa 01 - Antioquia-Chocó",,"Caribe","Atrato - Darién","Río Andágueda","INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES"
