-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2012 through 12/31/2019 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MAX,2012,5.0,-72.5,33.42,35.17,33.75,29.83,30.41,30.79,29.44,29.61,31.21,31.26,30.61,31.96,35.17
T2M_MAX,2012,5.0,-73.125,23.71,24.81,24.14,22.89,22.63,22.47,21.96,22.44,22.68,24.51,23.74,23.43,24.81
T2M_MAX,2012,5.0,-73.75,19.5,19.88,19.06,19.13,18.96,18.92,17.8,19.06,18.59,19.95,19.86,19.88,19.95
T2M_MAX,2012,5.5,-72.5,24.92,25.71,24.72,23.49,22.96,23.02,22.17,22.92,23.23,24.59,24.12,24.08,25.71
T2M_MAX,2012,5.5,-73.125,19.02,19.69,18.74,18.42,17.85,18.2,16.86,17.93,17.76,19.9,19.16,19.52,19.9
T2M_MAX,2012,5.5,-73.75,21.21,21.0,21.46,21.33,20.78,21.17,20.46,20.51,21.37,21.32,21.64,21.17,21.64
T2M_MAX,2012,6.0,-72.5,18.57,20.15,18.92,18.54,18.01,17.78,16.79,18.2,18.0,19.48,19.18,19.59,20.15
T2M_MAX,2012,6.0,-73.125,20.43,20.88,20.71,20.66,20.04,20.81,19.41,19.63,20.32,20.28,20.71,20.11,20.88
T2M_MAX,2012,6.0,-73.75,25.17,25.4,26.34,25.78,25.66,25.63,25.7,25.53,26.76,25.92,25.15,25.45,26.76
T2M_MAX,2012,6.5,-72.5,17.71,18.91,17.92,18.1,17.98,17.94,16.74,18.09,17.42,18.38,18.72,18.56,18.91
T2M_MAX,2012,6.5,-73.125,25.04,25.68,26.23,25.55,25.69,26.29,25.47,26.01,26.62,26.25,25.06,25.56,26.62
T2M_MAX,2012,6.5,-73.75,27.81,28.07,28.85,28.59,28.59,28.16,27.9,28.33,28.57,27.92,27.45,27.89,28.85
T2M_MAX,2013,5.0,-72.5,35.69,36.35,35.43,33.9,29.73,29.64,28.95,29.53,30.74,31.15,30.06,31.27,36.35
T2M_MAX,2013,5.0,-73.125,25.33,25.14,25.54,25.4,23.32,22.17,21.94,22.64,23.51,23.23,23.51,23.27,25.54
T2M_MAX,2013,5.0,-73.75,20.48,19.72,20.63,20.73,19.61,18.77,18.57,18.74,20.38,19.53,19.14,19.21,20.73
T2M_MAX,2013,5.5,-72.5,26.37,25.99,26.64,25.68,23.0,22.5,22.26,22.53,24.34,23.79,23.87,23.91,26.64
T2M_MAX,2013,5.5,-73.125,20.19,19.31,20.33,20.31,18.27,18.16,18.07,18.02,19.49,18.87,19.17,18.81,20.33
T2M_MAX,2013,5.5,-73.75,22.33,22.17,22.61,22.54,21.35,21.31,20.92,20.91,22.12,21.55,20.53,21.53,22.61
T2M_MAX,2013,6.0,-72.5,20.22,19.45,20.76,19.49,19.0,17.98,17.62,17.87,19.13,19.11,19.54,18.61,20.76
T2M_MAX,2013,6.0,-73.125,21.68,21.55,21.83,22.02,20.65,20.84,20.36,19.94,21.52,20.58,19.81,20.88,22.02
T2M_MAX,2013,6.0,-73.75,26.39,26.54,27.64,27.21,25.58,25.66,25.83,26.14,27.08,25.87,24.49,25.93,27.64
