-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2012 through 12/31/2019 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MIN,2012,5.0,-72.5,19.16,21.09,20.95,21.18,21.07,20.36,20.18,20.4,20.7,20.75,21.2,20.43,19.16
T2M_MIN,2012,5.0,-73.125,13.09,12.77,14.08,14.18,13.8,12.04,13.4,12.51,12.68,12.89,14.34,13.91,12.04
T2M_MIN,2012,5.0,-73.75,7.51,6.4,9.12,8.0,8.07,6.71,7.12,7.28,6.79,7.68,8.3,6.54,6.4
T2M_MIN,2012,5.5,-72.5,11.84,13.05,14.93,15.09,14.73,13.53,14.03,13.74,14.21,14.73,12.85,12.84,11.84
T2M_MIN,2012,5.5,-73.125,6.73,5.56,8.74,7.44,7.81,6.26,6.74,6.94,6.55,6.98,8.08,6.42,5.56
T2M_MIN,2012,5.5,-73.75,9.35,7.29,10.21,9.32,9.59,7.42,8.49,8.31,8.34,8.69,9.21,7.82,7.29
T2M_MIN,2012,6.0,-72.5,5.48,6.03,8.06,9.01,7.97,7.4,7.16,8.09,7.94,8.05,7.41,5.97,5.48
T2M_MIN,2012,6.0,-73.125,6.92,5.02,8.62,8.2,8.17,6.19,6.66,6.85,6.85,6.75,7.53,5.43,5.02
T2M_MIN,2012,6.0,-73.75,14.56,12.98,14.42,14.66,13.66,12.51,13.17,13.14,13.04,13.54,14.44,13.46,12.51
T2M_MIN,2012,6.5,-72.5,2.31,2.44,4.65,6.4,4.92,4.58,4.63,4.03,4.43,4.45,3.75,3.48,2.31
T2M_MIN,2012,6.5,-73.125,11.55,10.45,13.4,13.56,12.97,12.33,12.61,12.36,12.57,12.32,12.27,10.21,10.21
T2M_MIN,2012,6.5,-73.75,18.41,18.77,18.66,17.81,18.57,17.64,17.7,17.94,18.66,18.3,18.74,18.46,17.64
T2M_MIN,2013,5.0,-72.5,20.0,21.76,21.76,21.09,21.12,20.96,19.64,20.12,20.65,21.34,20.88,18.86,18.86
T2M_MIN,2013,5.0,-73.125,12.7,13.77,14.3,14.92,14.31,13.56,12.62,12.77,13.34,13.22,14.75,13.86,12.62
T2M_MIN,2013,5.0,-73.75,5.41,8.34,8.61,10.58,7.71,7.87,7.5,6.67,7.43,6.77,9.22,9.09,5.41
T2M_MIN,2013,5.5,-72.5,11.25,14.37,15.48,14.84,14.71,14.31,13.26,12.8,14.09,13.74,14.31,11.15,11.15
T2M_MIN,2013,5.5,-73.125,4.62,7.71,7.74,9.87,7.44,7.7,6.84,6.95,7.02,6.03,9.17,7.48,4.62
T2M_MIN,2013,5.5,-73.75,6.42,9.88,9.68,11.61,8.62,9.06,8.64,8.08,8.44,8.01,10.09,9.68,6.42
T2M_MIN,2013,6.0,-72.5,5.18,7.97,9.02,8.94,8.49,7.97,6.22,6.92,8.3,6.59,7.99,4.87,4.87
T2M_MIN,2013,6.0,-73.125,4.39,7.71,7.53,9.32,7.54,7.27,6.08,6.98,7.5,6.13,8.89,6.6,4.39
T2M_MIN,2013,6.0,-73.75,11.52,14.77,14.77,15.15,13.43,13.84,12.79,12.9,13.92,12.82,14.01,14.02,11.52
T2M_MIN,2013,6.5,-72.5,2.59,5.67,5.17,5.96,5.36,5.41,3.59,4.54,4.82,3.05,4.71,2.63,2.59
T2M_MIN,2013,6.5,-73.125,9.41,13.27,13.23,13.72,13.45,13.12,11.93,12.66,13.24,11.13,13.59,11.42,9.41
T2M_MIN,2013,6.5,-73.75,16.22,19.33,18.76,18.92,18.65,18.73,17.4,17.82,18.61,18.19,18.06,18.33,16.22
T2M_MIN,2014,5.0,-72.5,19.23,22.24,21.9,21.64,21.54,20.8,20.22,20.08,21.69,20.94,20.81,20.01,19.23
T2M_MIN,2014,5.0,-73.125,13.06,14.36,14.57,14.94,14.53,13.76,13.45,12.41,13.25,12.86,13.8,13.54,12.41
T2M_MIN,2014,5.0,-73.75,6.71,7.98,9.19,8.91,8.63,7.62,8.22,4.83,7.2,7.74,8.44,7.51,4.83
T2M_MIN,2014,5.5,-72.5,11.5,14.23,13.61,15.56,14.16,12.82,13.65,12.68,14.48,14.28,14.35,12.82,11.5
T2M_MIN,2014,5.5,-73.125,6.64,6.85,8.5,9.52,7.16,6.91,7.26,5.05,7.17,7.26,8.17,5.85,5.05
T2M_MIN,2014,5.5,-73.75,9.07,9.29,10.86,10.32,9.62,8.78,8.81,6.37,8.87,8.89,9.2,7.66,6.37
T2M_MIN,2014,6.0,-72.5,5.0,7.35,6.77,9.22,7.33,6.28,7.11,6.09,6.38,8.73,8.02,6.15,5.0
T2M_MIN,2014,6.0,-73.125,6.4,6.43,7.67,9.36,7.23,6.74,6.86,4.5,7.04,8.13,7.75,5.47,4.5
T2M_MIN,2014,6.0,-73.75,14.54,15.13,15.03,15.27,14.04,13.32,13.26,11.22,13.85,14.25,14.19,12.57,11.22
T2M_MIN,2014,6.5,-72.5,1.44,6.36,5.22,6.09,5.57,4.01,4.29,2.72,3.62,5.77,4.65,3.34,1.44
T2M_MIN,2014,6.5,-73.125,10.91,12.21,13.24,14.94,13.42,12.33,12.27,9.95,12.36,13.89,13.01,10.35,9.95
T2M_MIN,2014,6.5,-73.75,19.31,19.37,18.73,19.35,17.84,18.93,18.8,17.02,18.95,18.62,18.3,17.82,17.02
T2M_MIN,2015,5.0,-72.5,18.62,21.32,21.64,21.99,21.44,20.64,19.9,21.25,21.34,22.01,20.34,19.41,18.62
T2M_MIN,2015,5.0,-73.125,11.63,14.52,14.89,14.86,14.64,13.31,12.04,13.97,13.15,13.64,13.71,13.22,11.63
T2M_MIN,2015,5.0,-73.75,4.13,8.53,9.33,9.19,7.86,7.6,6.3,8.41,6.01,8.06,8.49,7.18,4.13
T2M_MIN,2015,5.5,-72.5,10.41,13.36,13.22,15.04,15.15,13.41,12.06,13.7,14.45,15.22,13.71,11.92,10.41
T2M_MIN,2015,5.5,-73.125,3.15,6.85,7.45,7.99,8.73,7.37,5.38,7.38,6.24,8.15,8.45,5.9,3.15
T2M_MIN,2015,5.5,-73.75,4.8,9.67,10.14,10.79,9.96,9.03,7.77,9.5,7.22,9.2,9.92,8.67,4.8
T2M_MIN,2015,6.0,-72.5,3.36,6.14,6.52,7.3,8.08,7.54,5.12,7.88,7.4,8.89,7.85,4.99,3.36
T2M_MIN,2015,6.0,-73.125,2.86,6.69,7.64,8.16,8.21,7.45,5.94,7.3,6.08,8.62,7.92,6.35,2.86
T2M_MIN,2015,6.0,-73.75,10.57,15.28,15.11,15.06,15.16,14.35,13.12,14.45,13.1,14.35,14.11,14.27,10.57
T2M_MIN,2015,6.5,-72.5,0.66,5.03,4.14,4.36,5.64,4.28,3.21,4.52,3.93,6.26,4.6,2.47,0.66
T2M_MIN,2015,6.5,-73.125,8.27,12.34,12.9,14.21,13.06,12.95,11.49,13.01,12.26,14.35,13.03,12.0,8.27
T2M_MIN,2015,6.5,-73.75,15.94,19.41,18.31,19.68,19.64,18.99,17.81,19.81,19.36,19.34,18.23,19.05,15.94
T2M_MIN,2016,5.0,-72.5,22.35,23.06,23.56,21.09,21.59,20.64,20.75,20.45,20.81,21.48,20.84,19.19,19.19
T2M_MIN,2016,5.0,-73.125,13.82,14.07,16.67,15.04,14.81,12.88,13.4,13.02,12.67,14.34,13.67,13.32,12.67
T2M_MIN,2016,5.0,-73.75,7.6,8.24,9.89,9.7,9.04,8.05,7.69,7.25,6.53,7.8,8.2,8.45,6.53
T2M_MIN,2016,5.5,-72.5,13.96,15.19,16.02,15.41,15.33,14.25,13.84,13.97,14.36,15.14,13.47,12.31,12.31
T2M_MIN,2016,5.5,-73.125,7.09,7.48,9.49,10.02,9.37,6.92,7.49,7.1,6.86,8.4,7.38,7.17,6.86
T2M_MIN,2016,5.5,-73.75,8.74,10.3,11.39,10.85,10.88,9.18,9.15,8.45,8.06,9.22,9.21,9.15,8.06
T2M_MIN,2016,6.0,-72.5,6.94,7.83,9.6,9.63,9.11,7.66,7.36,7.45,7.45,9.01,7.26,6.49,6.49
T2M_MIN,2016,6.0,-73.125,6.96,8.58,8.71,10.22,8.78,7.36,7.13,7.13,7.23,7.91,6.98,7.39,6.96
T2M_MIN,2016,6.0,-73.75,14.3,15.57,16.87,15.64,15.68,13.61,12.97,13.32,13.54,14.5,14.03,13.97,12.97
