EVI,NDVI,fecha,year,month,yyyymm
0.3813042732277985,0.6888249598950329,2005-01-01,2005,1,2005-01
0.3627831160881197,0.6681438075607001,2005-02-01,2005,2,2005-02
0.3796768692969929,0.6329420402140002,2005-03-01,2005,3,2005-03
0.4356767274210409,0.6678239330213991,2005-04-01,2005,4,2005-04
0.405431766802304,0.6950910896463685,2005-05-01,2005,5,2005-05
0.4153145394187385,0.7022855735286913,2005-06-01,2005,6,2005-06
0.418111524021873,0.6646775971506538,2005-07-01,2005,7,2005-07
0.4487725499872095,0.6632883530591969,2005-08-01,2005,8,2005-08
0.4186034126151357,0.6707073715289006,2005-09-01,2005,9,2005-09
0.4575134884812503,0.6899337566340986,2005-10-01,2005,10,2005-10
0.4117268313476099,0.7077253520498997,2005-11-01,2005,11,2005-11
0.3928728078119873,0.7156012783926678,2005-12-01,2005,12,2005-12
0.3847066468270824,0.6884734040802003,2006-01-01,2006,1,2006-01
0.3894175698744619,0.6402709553800048,2006-02-01,2006,2,2006-02
0.3577629335851166,0.6354936030153869,2006-03-01,2006,3,2006-03
0.4033324897060313,0.6707966299292076,2006-04-01,2006,4,2006-04
0.4245832805125956,0.7058040852438404,2006-05-01,2006,5,2006-05
0.4320820450006722,0.7047344118887422,2006-06-01,2006,6,2006-06
0.4122131224323358,0.7039414759523426,2006-07-01,2006,7,2006-07
0.4199962599344367,0.666324094218896,2006-08-01,2006,8,2006-08
0.4216170866158162,0.6895777711491423,2006-09-01,2006,9,2006-09
0.4412018823310121,0.7191356219901398,2006-10-01,2006,10,2006-10
0.4095682631520421,0.6898070067759585,2006-11-01,2006,11,2006-11
0.4260309270878236,0.7057381983573634,2006-12-01,2006,12,2006-12
0.3969834044748302,0.6830499605248755,2007-01-01,2007,1,2007-01
0.3409697906080514,0.6280489738429708,2007-02-01,2007,2,2007-02
0.3502116149178202,0.5476000122837554,2007-03-01,2007,3,2007-03
0.3859322503515942,0.6642093681929253,2007-04-01,2007,4,2007-04
0.4106287363716169,0.7127916267923479,2007-05-01,2007,5,2007-05
0.43780551151752,0.6940504825927956,2007-06-01,2007,6,2007-06
0.4259973570149651,0.693548480884344,2007-07-01,2007,7,2007-07
0.459325611413749,0.7057683400049178,2007-08-01,2007,8,2007-08
0.4499258433140868,0.6859786338588355,2007-09-01,2007,9,2007-09
0.4369749335528905,0.6952532746832847,2007-10-01,2007,10,2007-10
0.3960938248512125,0.7212100009594989,2007-11-01,2007,11,2007-11
0.4071566448181451,0.694661671057275,2007-12-01,2007,12,2007-12
0.3984457437945085,0.6879236220029501,2008-01-01,2008,1,2008-01
0.3811967953461845,0.6388607791941827,2008-02-01,2008,2,2008-02
0.3514153336219792,0.6105035320994039,2008-03-01,2008,3,2008-03
0.3568318616809017,0.6107620324373592,2008-04-01,2008,4,2008-04
0.4019395697770355,0.6898319206408571,2008-05-01,2008,5,2008-05
0.4357983168627684,0.695818096854988,2008-06-01,2008,6,2008-06
0.4377743616187041,0.6872967986627506,2008-07-01,2008,7,2008-07
0.4472876076083231,0.7015138514740882,2008-08-01,2008,8,2008-08
0.4574873910491797,0.6938284845801603,2008-09-01,2008,9,2008-09
0.4284520541671516,0.6915612828055707,2008-10-01,2008,10,2008-10
0.419675808542316,0.7036360510801443,2008-11-01,2008,11,2008-11
0.4030546317680001,0.7115118251513302,2008-12-01,2008,12,2008-12
0.3740968985445468,0.6798058978769108,2009-01-01,2009,1,2009-01
0.3856194742968194,0.6553295381727229,2009-02-01,2009,2,2009-02
0.3865516853211398,0.6471485579808312,2009-03-01,2009,3,2009-03
0.4233985106994475,0.6864490419453602,2009-04-01,2009,4,2009-04
0.4171136422395042,0.7028251949985463,2009-05-01,2009,5,2009-05
0.4529684711543026,0.7160227509503089,2009-06-01,2009,6,2009-06
