CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,1/1/2010 0:00,mm,58.2,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,2/1/2010 0:00,mm,111.8,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,3/1/2010 0:00,mm,134.5,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,4/1/2010 0:00,mm,368.7,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,5/1/2010 0:00,mm,247.7,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,6/1/2010 0:00,mm,138.4,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,7/1/2010 0:00,mm,292.2,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,8/1/2010 0:00,mm,159.2,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,9/1/2010 0:00,mm,351,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,10/1/2010 0:00,mm,259.2,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,11/1/2010 0:00,mm,466.1,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,12/1/2010 0:00,mm,233.1,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,1/1/2011 0:00,mm,131.6,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,2/1/2011 0:00,mm,195.2,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,3/1/2011 0:00,mm,369.9,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,4/1/2011 0:00,mm,555,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,5/1/2011 0:00,mm,239,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,6/1/2011 0:00,mm,150.5,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,7/1/2011 0:00,mm,128.7,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,8/1/2011 0:00,mm,184.7,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,9/1/2011 0:00,mm,160.3,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,10/1/2011 0:00,mm,371.4,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,11/1/2011 0:00,mm,583.5,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,12/1/2011 0:00,mm,392.8,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,1/1/2012 0:00,mm,231.3,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,2/1/2012 0:00,mm,94.8,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,3/1/2012 0:00,mm,226.9,Definitivo
23125090,PAUNA [23125090],PRECIPITACION,Precipitación total mensual,4/1/2012 0:00,mm,357.7,Definitivo
